seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type
2,PPO,0.0005,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,624.813441300008,mountaincar,dense
3,PPO,0.0005,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.8679982000031,mountaincar,dense
4,PPO,0.0005,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,625.9174436000176,mountaincar,dense
0,PPO,0.001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,626.237107300025,mountaincar,dense
1,PPO,0.001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,623.6819696999737,mountaincar,dense
2,PPO,0.001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,626.4307104999898,mountaincar,dense
3,PPO,0.001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.2088103999849,mountaincar,dense
4,PPO,0.001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.2733194999746,mountaincar,dense
0,PPO,0.001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,627.2642832000274,mountaincar,dense
1,PPO,0.001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.7471867999993,mountaincar,dense
2,PPO,0.001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.883453699993,mountaincar,dense
3,PPO,0.001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,627.059597000014,mountaincar,dense
4,PPO,0.001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.7677712999866,mountaincar,dense
0,PPO,0.0001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.5867090999964,mountaincar,sparse
1,PPO,0.0001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.3651119999704,mountaincar,sparse
2,PPO,0.0001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.8074975999771,mountaincar,sparse
3,PPO,0.0001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.6443907999783,mountaincar,sparse
4,PPO,0.0001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.3316084000398,mountaincar,sparse
0,PPO,0.0001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.9759442000068,mountaincar,sparse
1,PPO,0.0001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.0173917000066,mountaincar,sparse
2,PPO,0.0001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.6095427999971,mountaincar,sparse
3,PPO,0.0001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.9477292999509,mountaincar,sparse
4,PPO,0.0001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.8327248999849,mountaincar,sparse
0,PPO,0.0005,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.2657425999641,mountaincar,sparse
1,PPO,0.0005,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.3732639000518,mountaincar,sparse
2,PPO,0.0005,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.5487293999759,mountaincar,sparse
3,PPO,0.0005,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.9509159999434,mountaincar,sparse
4,PPO,0.0005,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.4875086999964,mountaincar,sparse
0,PPO,0.0005,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.1267251999816,mountaincar,sparse
1,PPO,0.0005,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.7544166999869,mountaincar,sparse
2,PPO,0.0005,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.9479082999751,mountaincar,sparse
3,PPO,0.0005,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.1525732000009,mountaincar,sparse
4,PPO,0.0005,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.130727700016,mountaincar,sparse
0,PPO,0.001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.4581697999965,mountaincar,sparse
1,PPO,0.001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.3632990000187,mountaincar,sparse
2,PPO,0.001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.2382549000322,mountaincar,sparse
3,PPO,0.001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.5492609000066,mountaincar,sparse
4,PPO,0.001,0.99,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.8737242000061,mountaincar,sparse
0,PPO,0.001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.2585385999992,mountaincar,sparse
1,PPO,0.001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.2662231999566,mountaincar,sparse
2,PPO,0.001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,627.5558179999935,mountaincar,sparse
3,PPO,0.001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.32834800001,mountaincar,sparse
4,PPO,0.001,0.95,-1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,635.02833250002,mountaincar,sparse
