seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,beta
9,DQN_RND,0.001,0.99,61.21999740600586,0.0099999997764825,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,61.21999740600586,360.861086142,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.001,0.99,56.27999877929688,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,56.27999877929688,359.77402397000003,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.001,0.99,57.68000030517578,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,57.68000030517578,357.68493770299995,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.001,0.99,37.14999771118164,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,37.14999771118164,360.522699524,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.001,0.99,78.54999542236328,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,78.54999542236328,359.9882457210001,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.001,0.99,46.369998931884766,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,46.369998931884766,360.0028770250001,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.001,0.99,56.44999694824219,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,56.44999694824219,361.59947866900006,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.001,0.99,62.66999816894531,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,62.66999816894531,362.4353932309998,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.001,0.99,50.55999755859375,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,50.55999755859375,363.19459405600014,cartpole,dense,cartpole_dense,1.0
8,DQN_RND,0.001,0.99,76.86000061035156,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,76.86000061035156,362.6799722669998,cartpole,dense,cartpole_dense,1.0
9,DQN_RND,0.001,0.99,92.75,0.0099999997764825,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,92.75,364.61143056300034,cartpole,dense,cartpole_dense,1.0
0,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,255.00871123100023,cartpole,dense,cartpole_dense,0.1
1,DQN_RND,0.01,0.95,149.67999267578125,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,149.67999267578125,358.55357839,cartpole,dense,cartpole_dense,0.1
2,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,332.4893469860003,cartpole,dense,cartpole_dense,0.1
3,DQN_RND,0.01,0.95,194.47999572753903,0.5299999713897705,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,194.47999572753903,369.6174526560003,cartpole,dense,cartpole_dense,0.1
4,DQN_RND,0.01,0.95,184.3000030517578,0.3700000047683716,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,184.3000030517578,380.4099264510001,cartpole,dense,cartpole_dense,0.1
5,DQN_RND,0.01,0.95,199.92999267578125,0.9699999690055848,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,199.92999267578125,376.585848796,cartpole,dense,cartpole_dense,0.1
6,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,324.92892258500024,cartpole,dense,cartpole_dense,0.1
7,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,255.58125190200008,cartpole,dense,cartpole_dense,0.1
8,DQN_RND,0.01,0.95,198.75999450683597,0.8700000047683716,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,198.75999450683597,246.80461095700048,cartpole,dense,cartpole_dense,0.1
9,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,318.01768359699963,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,364.5899908190004,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,324.96242574200005,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,249.59629152100024,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,214.4506530430008,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.01,0.95,183.47000122070312,0.209999993443489,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,183.47000122070312,370.4263345520003,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.01,0.95,199.97000122070312,0.9899999499320984,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,199.97000122070312,369.5413896440005,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,365.02411429600033,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,329.4651869930003,cartpole,dense,cartpole_dense,1.0
8,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,366.397837126,cartpole,dense,cartpole_dense,1.0
9,DQN_RND,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,367.9671823110002,cartpole,dense,cartpole_dense,1.0
0,DQN_RND,0.01,0.99,139.25,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,139.25,464.3195506310003,cartpole,dense,cartpole_dense,0.1
1,DQN_RND,0.01,0.99,186.4499969482422,0.0799999982118606,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,186.4499969482422,465.0054464210007,cartpole,dense,cartpole_dense,0.1
2,DQN_RND,0.01,0.99,175.38999938964844,0.0199999995529651,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,175.38999938964844,398.7405338399985,cartpole,dense,cartpole_dense,0.1
3,DQN_RND,0.01,0.99,101.75999450683594,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,101.75999450683594,394.1085490330006,cartpole,dense,cartpole_dense,0.1
4,DQN_RND,0.01,0.99,111.18999481201172,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,111.18999481201172,402.54704980399765,cartpole,dense,cartpole_dense,0.1
5,DQN_RND,0.01,0.99,162.87998962402344,0.0199999995529651,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,162.87998962402344,405.3276666070015,cartpole,dense,cartpole_dense,0.1
6,DQN_RND,0.01,0.99,150.7899932861328,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,150.7899932861328,394.3429913050022,cartpole,dense,cartpole_dense,0.1
7,DQN_RND,0.01,0.99,184.33999633789065,0.0099999997764825,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,184.33999633789065,393.6280976919989,cartpole,dense,cartpole_dense,0.1
8,DQN_RND,0.01,0.99,193.239990234375,0.429999977350235,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,193.239990234375,400.5276352559995,cartpole,dense,cartpole_dense,0.1
9,DQN_RND,0.01,0.99,135.14999389648438,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,135.14999389648438,400.6973749659992,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.01,0.99,131.9199981689453,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,131.9199981689453,390.3364693040021,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.01,0.99,190.62998962402344,0.5899999737739563,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,190.62998962402344,392.93582601399976,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.01,0.99,199.87998962402344,0.9699999690055848,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,199.87998962402344,275.90286410200133,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,387.2398630860007,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.01,0.99,136.9199981689453,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,136.9199981689453,382.5699250519974,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.01,0.99,184.6199951171875,0.0700000002980232,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,184.6199951171875,392.0349047920026,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.01,0.99,198.77999877929688,0.8700000047683716,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,198.77999877929688,414.0295898730001,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.01,0.99,163.52999877929688,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,163.52999877929688,419.5495071790028,cartpole,dense,cartpole_dense,1.0
